url,title,brand,Switch Type,Hot-Swap,Keycaps,Keycap Color,Size,Key Count,Frame Color,LED Backlight,Connection,Response Rate,N-Key Rollover,Anti-Ghosting,Compatibility,Physical Layout,Regional Layout,Dimensions,Weight,Warranty,model
https://keybumps.com/keyboard/0-01-z62-dark-grey-blank.html,0.01 Z62 Dark Grey Blank 60% Mechanical Keyboard,0.01,Cherry MX,No,Dye Sub PBT,Gray,60%,61 keys,Gray,White,USB-C,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,Z62 Dark Grey Blank 60%
https://keybumps.com/keyboard/0-01-z62-dark-grey.html,0.01 Z62 Dark Grey 60% Mechanical Keyboard,0.01,Cherry MX,No,Dye Sub PBT,Gray,60%,61 keys,Gray,White,USB-C,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,Z62 Dark Grey 60%
https://keybumps.com/keyboard/0-01-z62-silver-blank.html,0.01 Z62 Silver Blank 60% Mechanical Keyboard,0.01,Cherry MX,No,Dye Sub PBT,Silver,60%,61 keys,Silver,White,USB-C,1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, MacOS, Linux, iOS, Android",ANSI,US English,,,1 Year,Z62 Silver Blank 60%
https://keybumps.com/keyboard/8bitdo-retro-108-fami-edition.html,8BitDo Retro 108 - Fami Edition,8BitDo,Kailh BOX White,Yes,Dye Sub PBT,White,Full Size,108 keys,Red,None,"USB-C, Bluetooth, 2.4GHz Wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, Linux, Android",ANSI,US English,458.7 x 169.7 x 47.8 mm,1350g,1 Year,Retro 108 - Fami Edition
https://keybumps.com/keyboard/8bitdo-retro-108-n-edition.html,8BitDo Retro 108 - N Edition,8BitDo,Kailh BOX White,Yes,Dye Sub PBT,"Grey, Black, Red",Full Size,108 keys,Grey,None,"USB-C, Bluetooth, 2.4GHz Wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, Linux, Android",ANSI,US English,458.7 x 169.7 x 47.8 mm,1350g,1 Year,Retro 108 - N Edition
https://keybumps.com/keyboard/8bitdo-retro-18-c64-edition.html,8BitDo Retro 18 - C64 Edition,8BitDo,Kailh BOX White,Yes,Doubleshot ABS,Brown,Numpad,18 keys,Beige,RGB,"USB-C, Bluetooth, 2.4GHz Wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, Linux, Android",ANSI,US English,170 x 104 x 45.5 mm,300g,1 Year,Retro 18 - C64 Edition
https://keybumps.com/keyboard/8bitdo-retro-18-fami-edition.html,8BitDo Retro 18 - Fami Edition,8BitDo,Kailh BOX White,Yes,Dye Sub PBT,Grey,Numpad,18 keys,Grey,RGB,"USB-C, Bluetooth, 2.4GHz Wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, Linux, Android",ANSI,US English,170 x 104 x 45.5 mm,300g,1 Year,Retro 18 - Fami Edition
https://keybumps.com/keyboard/8bitdo-retro-18-m-edition.html,8BitDo Retro 18 - M Edition,8BitDo,Kailh BOX White,Yes,Dye Sub PBT,Grey,Numpad,18 keys,Grey,RGB,"USB-C, Bluetooth, 2.4GHz Wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, Linux, Android",ANSI,US English,170 x 104 x 45.5 mm,300g,1 Year,Retro 18 - M Edition
https://keybumps.com/keyboard/8bitdo-retro-18-n-edition.html,8BitDo Retro 18 - N Edition,8BitDo,Kailh BOX White,Yes,Dye Sub PBT,Grey,Numpad,18 keys,Grey,RGB,"USB-C, Bluetooth, 2.4GHz Wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, Linux, Android",ANSI,US English,170 x 104 x 45.5 mm,300g,1 Year,Retro 18 - N Edition
https://keybumps.com/keyboard/8bitdo-retro-68-nes-40th-limited-edition.html,8BitDo Retro 68 - NES 40th Limited Edition,8BitDo,Kailh BOX Ice Cream Pro Max,Yes,Dye Sub PBT,"Gray, Red, Black",65%,68 keys,Grey,RGB,"USB-C, Bluetooth, 2.4GHz Wireless",1 ms / 1000 Hz,Full Key (NKRO),100%,"Windows, Linux, Android",ANSI,US English,323.3 x 138.5 x 46.5 mm,2200g,1 Year,Retro 68 - NES 40th Limited Edition
